#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
91,Cyprus,"392,019",,927 ,,"124,370",,"266,722",60,"320,675",758,"9,477,138","7,752,381","1,222,481 ",Asia,"31,3190",,,"218,181"
92,Oman,"387,922",+93,"4,250 ",,"381,949",+192,"1,723",15,"72,782",797,"25,000,000","4,690,520","5,329,899 ",Asia,"141,2540",17,,323
93,Bosnia and Herzegovina,"374,573",,"15,691 ",,"192,218",,"166,664",,"115,406","4,834","1,728,874","532,665","3,245,707 ",Europe,92072,,,"51,349"
94,Qatar,"360,497",+115,677 ,,"358,686",+112,"1,134",1,"128,391",241,"3,403,146","1,212,031","2,807,805 ",Asia,"84,1471",41,,404
95,Réunion,"327,189",,702 ,,"314,338",,"12,149",41,"361,014",775,"1,569,429","1,731,677","906,306 ",Africa,"31,2911",,,"13,405"
96,Kenya,"323,319",,"5,647 ",,"317,581",,91,1,"5,793",101,"3,482,807","62,407","55,807,883 ",Africa,"1739,88316",,,2
97,Zambia,"316,190",,"3,964 ",,"311,348",,878,1,"16,409",206,"3,338,247","173,245","19,268,949 ",Africa,"614,8616",,,46
98,North Macedonia,"304,047",,"9,188 ",,"292,886",,"1,973",,"145,950","4,410","1,904,444","914,180","2,083,227 ",Europe,72271,,,947
99,Albania,"273,164",,"3,489 ",,"269,256",,419,13,"95,100","1,215","1,769,904","616,178","2,872,390 ",Europe,118232,,,146
100,Algeria,"265,585",,"6,873 ",,"178,214",,"80,498",7,"5,874",152,"230,861","5,106","45,212,869 ",Africa,"1706,578196",,,"1,780"
101,Botswana,"263,950",,"2,619 ",,"259,434",,"1,897",1,"108,475","1,076","2,026,898","832,991","2,433,278 ",Africa,99291,,,780
102,Nigeria,"255,244",,"3,142 ",,"249,486",,"2,616",11,"1,188",15,"4,726,096","21,990","214,923,333 ",Africa,"84268,40345",,,12
103,Zimbabwe,"245,194",,"5,432 ",,"235,505",,"4,257",12,"16,094",357,"2,167,273","142,255","15,235,096 ",Africa,"622,8057",,,279
104,Uzbekistan,"237,533",+6,"1,637 ",,"235,224",+37,672,23,"6,924",48,"1,377,915","40,168","34,303,572 ",Asia,"14420,95525",0.2,,20
105,Montenegro,"232,462",,"2,696 ",,"229,046",,720,6,"370,043","4,292","1,201,149","1,912,040","628,203 ",Europe,32331,,,"1,146"
106,Mozambique,"225,220",,"2,200 ",,"222,045",,975,13,"6,875",67,"1,290,853","39,403","32,760,632 ",Africa,"14514,89125",,,30
107,Luxembourg,"203,861",,"1,019 ",,"187,598",,"15,244",4,"316,803","1,584","4,131,847","6,420,957","643,494 ",Europe,36310,,,"23,689"
108,Kyrgyzstan,"200,847",+11,"2,982 ",,"196,129",+16,"1,736",131,"29,935",444,"1,907,195","284,260","6,709,331 ",Asia,"332,2504",2,,259
109,Afghanistan,"177,321",,"7,657 ",,"160,402",,"9,262","1,124","4,385",189,"914,608","22,619","40,435,772 ",Asia,"2285,28144",,,229
110,Iceland,"176,179",,93 ,,"75,685",,"100,401",3,"510,584",270,"1,864,426","5,403,288","345,054 ",Europe,"23,7100",,,"290,972"
111,Maldives,"174,658",,297 ,,"163,687",,"10,674",25,"313,615",533,"2,213,831","3,975,147","556,918 ",Asia,"31,8750",,,"19,166"
